orijinal,yeni
BrainFit,BrainFit
Programlar,Programlarımız
Zihin Check-Up,Zihin Check-Up
Süreç,Nasıl Çalışıyoruz?
Hakkımızda,Hakkımızda
İletişim,İletişim
Close menu,Menüyü Kapat
Open menu,Menüyü Aç
Check-Up,Zihin Check-Up
Karşıyaka BrainFit,BrainFit Karşıyaka
Çocuğunuzun öğrenme haritasını birlikte çıkaralım.,Çocuğunuzun öğrenme potansiyelini birlikte keşfedelim.
"Etiket koymadan, nereden başlayabileceğinizi birlikte görelim.","Tanı koymadan, gelişim yolculuğuna nereden başlayacağımızı birlikte belirleyelim."
"45 dakikalık Zihin Check-Up ile çocuğunuzun dikkat, hafıza ve öğrenme becerilerine daha yakından bakın.","45 dakikalık Zihin Check-Up ile çocuğunuzun dikkat, hafıza ve öğrenme becerilerini bilimsel verilerle analiz edin."
Zihin Check-Up’ı Alın,Zihin Check-Up Randevusu Al
Gülümseyen bir çocuğun düşünerek yukarı baktığı BrainFit hero görseli,Düşünen ve gülümseyen çocuk görseli - BrainFit Ana Sayfa
Her çocuğun potansiyeli keşfedilmeyi bekler.,Her çocuğun keşfedilmeyi bekleyen eşsiz bir potansiyeli vardır.
İç sesinizi duyuyoruz,Ebeveynlerin Kaygılarını Anlıyoruz
Evde bunu yaşıyor olabilirsiniz.,Evinizde benzer süreçlerden geçiyor olabilirsiniz:
“Zeki olduğunu biliyorum. Ama neden bu kadar zorlanıyor?”,“Çocuğumun potansiyelinin farkındayım ama neden akademik süreçlerde bu kadar zorlanıyor?”
Size en yakın cümleyi seçin.,Çocuğunuzun durumunu en iyi özetleyen ifadeyi seçin.
Bu seçim yalnızca formda görünür; aile görüşmesine daha net bir başlangıç sağlar.,"Bu seçim, uzman görüşmemiz için ön bilgi sağlar ve süreci size özel yapılandırmamıza yardımcı olur."
Ödevin başına oturuyor ama başlayamıyor.,Ödevin başına geçmekte zorlanıyor veya sürekli erteliyor.
"Anlıyor gibi görünüyor, sonra unutuyor.",Konuyu anladığını söylüyor ama kısa süre sonra bilgiyi hatırlamakta güçlük çekiyor.
Sınavda bildiğini gösteremiyor.,Bilgi sahibi olmasına rağmen sınav anında bu bilgiyi kağıda dökemiyor.
Çok zeki ama dikkati dağılıyor deniyor.,Potansiyeli yüksek görülmesine rağmen dikkati çok çabuk dağılıyor.
"Bu tablo her zaman isteksizlik anlamına gelmez. Başlamak, dikkati sürdürmek ve planı küçük adımlara bölmek ayrı ayrı desteklenebilen becerilerdir.","Bu durum her zaman isteksizlikten kaynaklanmaz. Odaklanma, dikkati sürdürme ve planlama, doğru egzersizlerle geliştirilebilen zihinsel becerilerdir."
"Bazen çocuk bilgiyi o anda kavrar, fakat sonradan geri çağırmakta zorlanır. Hafıza ve tekrar ritmini birlikte anlamak iyi bir başlangıçtır.",Bilgiyi kavramak ve o bilgiyi ihtiyaç anında geri çağırmak farklı süreçlerdir. Hafıza kapasitesini ve öğrenme ritmini anlamak gelişimin anahtarıdır.
"Bildiklerini doğru anda kullanmak dikkat, hız ve sakin kalabilme ile birlikte çalışır. Önce hangi adımın zorlandığını görmeye çalışırız.","Öğrenilenlerin eyleme dökülmesi; dikkat, işlem hızı ve kaygı yönetimiyle ilişkilidir. Biz, bu zincirin hangi halkasında destek gerektiğini tespit ediyoruz."
Zeka ile dikkati sürdürmek aynı şey değildir. Çocuğunuzun potansiyelini göstermesini zorlaştıran becerileri birlikte fark edebiliriz.,Bilişsel kapasite (zeka) ile dikkati sürdürme becerisi farklı alanlardır. Çocuğunuzun potansiyelini tam yansıtmasını engelleyen zihinsel bariyerleri birlikte aşabiliriz.
Daha fazla baskıdan önce,Daha Fazla Israr Etmeden Önce
Bu bir tembellik meselesi olmayabilir.,Yaşananlar bir motivasyon eksikliği veya tembellik olmayabilir.
"Çocuklar bazen gerçekten ister, dener ve yorulur. Fakat dikkatini sürdürmek, bilgiyi akılda tutmak veya öğrendiğini doğru anda kullanmak zor geldiğinde sonuç çabasıyla aynı görünmeyebilir.","Çocuklar bazen tüm güçleriyle dener ve yorulurlar. Ancak odaklanma veya hafıza kapasitesi zorlandığında, harcadıkları çaba aldıkları sonuçla örtüşmeyebilir."
"Bu yüzden ilk adım daha çok zorlamak değil, hangi becerinin desteklenmeye ihtiyaç duyduğunu sakin bir şekilde anlamaktır.",Bu nedenle çözüm daha çok baskı kurmak değil; hangi zihinsel becerinin desteğe ihtiyaç duyduğunu uzmanlıkla belirlemektir.
Yalnız değilsiniz,Bu Yolculukta Yalnız Değilsiniz
Öğrenmek tek bir beceri değildir.,"Öğrenme, birden fazla bilişsel becerinin uyumudur."
"Dikkat, hafıza, işlem ritmi ve planlama birlikte çalışır. Bu alanlardan biri zorlandığında çocuk “biliyor ama yapamıyor” gibi görünebilir.","Dikkat, hafıza ve planlama gibi beceriler bir bütün olarak çalışır. Bu alanlardan birindeki zayıflık, çocuğun performansını doğrudan etkiler."
Öğrenme kartları,Bilişsel Gelişim Alanları
Dikkatini sürdürmek,Dikkati Sürdürme
"Başlamak kadar, başladığı işi küçük adımlarla devam ettirmek de ayrı bir beceridir.","Bir işe başlamak kadar, o işi dikkat dağılmadan sonuna kadar götürmek de geliştirilebilir bir yetidir."
Dikkatini sürdürmek kartını göster,Dikkati Sürdürme Detaylarını Gör
Bilgiyi hatırlamak,Hafıza ve Geri Çağırma
"Anladığı bilgiyi doğru zamanda geri çağırmak, hafıza ritmi ve tekrar alışkanlığıyla ilişkilidir.","Öğrenilen bilginin ihtiyaç duyulduğu anda hatırlanması, hafıza kapasitesi ve doğru tekrar teknikleriyle doğrudan ilişkilidir."
Bilgiyi hatırlamak kartını göster,Hafıza Detaylarını Gör
Öğrendiğini kullanmak,Bilgiyi Uygulama ve Transfer
"Sınavda ya da ödevde bildiğini göstermek; dikkat, hız ve planlama ile birlikte çalışır.","Sınav ve ödev performansında bilgiyi doğru kullanmak; dikkat, işlem hızı ve planlama yetisiyle mümkündür."
Öğrendiğini kullanmak kartını göster,Uygulama Becerisi Detaylarını Gör
45 dakika. Daha net bir başlangıç.,45 Dakikada Bilimsel Bir Başlangıç
